ID,Question,OK,Expected_Tools,Used_Tools,Tool_Correct,Judge_Score,Latency_Sec,Steps
B01,Esenyurt’ta anlık trafik yoğunluğunu çek. Yoğunluk %25 üstüyse SAFETY dokümanından dur-kalk trafikte risk azaltmaya yönelik 4 öneri çıkar. Sonra 70 km/s için 'hızın yarısı kadar metre' kuralıyla takip mesafesini hesapla ve yoğunlukla ilişkilendirerek kısa gerekçe yaz.,True,"live_traffic_api, rag_search, math",,False,0.0,1.66,0.0
B02,Şu an Beşiktaş’ta trafik yoğunluğunu kontrol et. Yoğunluk %40 ve üstüyse SAFETY’den 4 madde güvenli sürüş önlemi getir. 90 km/s için takip mesafesini hesapla. Sonuçta 'neden özellikle bu önlemler' diye kısa gerekçe yaz.,True,"live_traffic_api, rag_search, math",,False,0.0,1.34,0.0
B03,Kadıköy anlık trafik durumunu çek. Eğer durum 'Yoğun' veya 'Çok Yoğun' ise SAFETY’den dikkat/öngörü/hız temalı 4 öneri çıkar. 50 km/s için takip mesafesini hesapla. Trafik akıcıysa şartın tetiklenmediğini açıkla ve yine de güvenli sürüş açısından kısa yorum yap.,True,"live_traffic_api, rag_search, math",,False,85.0,1.41,0.0
B04,"Ataşehir’de anlık yoğunluğu çek. Yoğunluk yüzdesine göre (0–14, 15–34, 35+) sürüş stratejisi yaz: her seviye için SAFETY’den 2 öneri (toplam 6). 80 km/s takip mesafesini hesapla ve seviyelere göre 'arttır/koru' kararını gerekçelendir.",True,"live_traffic_api, rag_search, math",,False,40.0,1.65,0.0
B05,Bakırköy’de anlık yoğunluğu çek. Yoğunluk %35+ ise SAFETY’den 4 öneri çıkar ve özellikle ani fren/dur-kalk riskine dair bağlam getir. 60 km/s takip mesafesini hesapla ve her önerinin hangi riski azalttığını 1-2 cümleyle eşleştir.,True,"live_traffic_api, rag_search, math",,False,0.0,1.59,0.0
B06,Şişli’de anlık trafik durumunu ve yoğunluk yüzdesini çek. SAFETY’den ıslak/kaygan zemin ile ilgili 3 öneri ve genel yoğun trafikte dikkat ile ilgili 1 öneri getir. 90 km/s takip mesafesini hesapla ve 4 öneriyi tek bir kısa sürüş planı halinde birleştir.,True,"live_traffic_api, rag_search, math",,False,60.0,1.89,0.0
B07,Taksim’den Kadıköy’e trafik etkili rota ve alternatifleri çek. En hızlı rotanın gecikmesi 8 dk üstüyse SAFETY’den 4 öneri getir. Ayrıca gecikme/mesafe oranını (gecikme dk / km) hesaplayıp gecikmenin sürücü riski/yorulma etkisini 2-3 cümleyle gerekçelendir.,True,"route_eta_api, rag_search, math",,False,0.0,1.8,0.0
B08,Beşiktaş’tan Üsküdar’a rota+ETA al (alternatif dahil). En hızlı rota gecikmesi 5 dk üstüyse SAFETY’den sabır/takip mesafesi/şerit disiplini temalı 4 öneri getir. En hızlı ve en kısa mesafeli rotayı karşılaştırıp hangisini seçtiğini net kriterle gerekçelendir.,True,"route_eta_api, rag_search, math",,False,60.0,1.56,0.0
B09,Esenyurt’tan Taksim’e rota ve alternatifleri çek. Eğer alternatif rotaların süre farkı 10 dk’dan büyükse SAFETY’den dur-kalk ve dikkat dağınıklığı riskine dair 4 öneri getir. Süre farkını hesapla ve 'daha stabil rota' seçimini gerekçelendir.,True,"route_eta_api, rag_search, math",,False,85.0,1.69,0.0
B10,Kadıköy’den Ataşehir’e rota+ETA al. En hızlı rotanın gecikmesi toplam sürenin %15’inden fazlaysa SAFETY’den 4 öneri getir. Gecikme yüzdesini hesapla ve kararını kısa gerekçeyle yaz.,True,"route_eta_api, rag_search, math",,False,0.0,1.9,0.0
B11,Bakırköy’den Şişli’ye rota sonuçlarını çek. En hızlı rotada gecikme 0 olsa bile SAFETY’den şehir içi dikkat için 2 öneri + takip mesafesi için 2 öneri getir. 70 km/s takip mesafesini hesapla ve rota ile ilişkilendirerek kısa plan yaz.,True,"route_eta_api, rag_search, math",,False,60.0,1.27,0.0
B12,Üsküdar’dan Taksim’e rota ve alternatifleri çek. Eğer en hızlı rotanın gecikmesi 8 dk üstüyse SAFETY’den 4 öneri getir. Ayrıca basit bir skor üret: skor = gecikme * 2. Skoru hesapla ve neden bu skorun sürücü davranışını etkilemesi gerektiğini gerekçelendir.,True,"route_eta_api, rag_search, math",,False,40.0,2.22,0.0
B13,(1) Esenyurt’ta anlık yoğunluğu çek. (2) Esenyurt’tan Taksim’e rota+ETA çek. Eğer yoğunluk %35+ VE rota gecikmesi 8+ ise SAFETY’den 5 öneri getir. İki risk birden yüksekken neden daha kritik olduğunu 3 cümle ile açıkla.,True,"live_traffic_api, route_eta_api, rag_search, math",,False,0.0,1.7,0.0
B14,"Kadıköy’de anlık yoğunluğu al, sonra Kadıköy’den Beşiktaş’a rota+ETA çek. Yoğunluk %25+ ise 80 km/s takip mesafesini hesapla. Rota gecikmesi de 8+ ise SAFETY’den 4 öneri getir ve hepsini tek bir sürüş planı halinde gerekçelendir.",True,"live_traffic_api, route_eta_api, rag_search, math",,False,0.0,1.95,0.0
B15,"Şişli’de anlık yoğunluğu al, Şişli’den Bakırköy’e rota+ETA çek. Basit stres puanı tanımla: stres = yoğunluk + (gecikme*5). Değerleri çekip stresi hesapla. SAFETY’den 4 öneri getir ve stres puanını gerekçelendirmede kullan.",True,"live_traffic_api, route_eta_api, rag_search, math",,False,0.0,1.44,0.0
B16,Beşiktaş yoğunluğunu ve Beşiktaş’tan Üsküdar’a rota gecikmesini al. Yoğunluk düşük ama gecikme yüksekse (veya tersi) hangi durumda daha temkinli olacağını SAFETY bağlamıyla tartış. 90 km/s takip mesafesini hesaplayıp kararına ekle.,True,"live_traffic_api, route_eta_api, rag_search, math",,False,0.0,1.15,0.0
B17,"Ataşehir yoğunluğunu ve Ataşehir’den Kadıköy’e rota+ETA çek. Yoğunluk %15–34 arasıysa SAFETY’den 3 öneri, %35+ ise 5 öneri getir. 60 km/s takip mesafesini hesapla ve hangi eşikte hangi önerilerin devreye girdiğini kısa listede göster.",True,"live_traffic_api, route_eta_api, rag_search, math",,False,0.0,1.51,0.0
B18,"Bakırköy yoğunluğunu ve Bakırköy’den Taksim’e rota+ETA çek. En hızlı rota ile en az gecikmeli rota farklıysa seçim puanı uygula: puan = süre + 2*gecikme. Her rota için puanı hesapla, en düşük puanlı rotayı seç ve SAFETY’den 4 öneriyle gerekçelendir.",True,"live_traffic_api, route_eta_api, rag_search, math",,False,85.0,1.7,0.0
B19,Taksim’den Kadıköy’e rota+ETA çek. SIGNS dokümanından hız limitleri/uyarı levhalarıyla ilgili bağlam getir. Rota gecikmesi varsa sürücüde 'hız baskısı' riskini tartış ve 90 km/s takip mesafesini hesaplayıp neden hız yapılmaması gerektiğini bağlamla açıkla.,True,"route_eta_api, rag_search, math",,False,40.0,1.48,0.0
B20,Üsküdar’dan Beşiktaş’a rota+ETA çek. REGULATION dokümanından takip mesafesi/güvenli sürüş ile ilgili bağlam getir. 70 km/s takip mesafesini hesapla. 'Rota gecikmesi sürücüyü zorlar ama kural değişmez' temasında kısa karar yaz.,True,"route_eta_api, rag_search, math",,False,0.0,1.67,0.0
B21,Esenyurt’ta anlık yoğunluğu çek. SIGNS dokümanından dikkat/uyarı levhalarının amacıyla ilgili bağlam getir. 50 km/s takip mesafesini hesapla. Uyarı levhası mantığı ile yoğun trafikte risk yönetimini birleştirerek kısa açıklama yaz.,True,"live_traffic_api, rag_search, math",,False,60.0,1.2,0.0
B22,Kadıköy’de anlık yoğunluğu çek. REGULATION dokümanından şehir içi hız/kurallar hakkında bağlam getir. 90 km/s takip mesafesini hesapla ve şehir içinde hız baskısının neden riskli olduğunu kanıta dayalı yorumla (dokümanda net sayı yoksa bunu belirt).,True,"live_traffic_api, rag_search, math",,False,60.0,1.28,0.0
B23,Esenyurt’ta anlık yoğunluğu çek. SAFETY dokümanından yağmur/ıslak zeminle ilgili bağlam getir. Eğer yoğunluk %35+ ise hedef hızı %20 düşür: örneğin 80→64. Bu hesabı yap ve nedenini bağlamla açıkla.,True,"live_traffic_api, rag_search, math",,False,0.0,1.45,0.0
B24,Taksim’den Kadıköy’e rota gecikmesini al. Eğer gecikme 8+ ise 'mola önerisi' üret: mola_dk = gecikme/2. Hesapla. SAFETY’den yorgunluk/dikkat bağlamı getir ve öneriyi gerekçelendir.,True,"route_eta_api, rag_search, math",,False,0.0,1.47,0.0
B25,Şişli’de anlık yoğunluğu al. Durum 'Yoğun/Çok Yoğun' ise güvenli takip mesafesine +%30 tampon ekle: tamponlu = (hız/2)*1.3 (hız=60). Hesapla. SAFETY’den takip mesafesi ve yoğun trafik bağlamı getirip yorumla.,True,"live_traffic_api, rag_search, math",,False,0.0,0.99,0.0
B26,Beşiktaş’tan Üsküdar’a rota+ETA çek. Gecikme varsa risk skoru hesapla: risk = gecikme*10 + (süre/10). Hesapla. SAFETY’den 4 öneri getir ve risk skoruna göre ciddiyet seviyesini yorumla.,True,"route_eta_api, rag_search, math",,False,0.0,1.23,0.0
B27,"Ataşehir’de anlık yoğunluğu al. Eğer yoğunluk %15–34 ise 70 km/s için takip mesafesini (hız/2) hesapla. Eğer %35+ ise (hız/2)+10 metre yap. Math ile iki ihtimali de hesapla, sonra gerçek yoğunluğa göre doğru olanı seçip SAFETY bağlamıyla gerekçelendir.",True,"live_traffic_api, rag_search, math",,False,0.0,0.95,0.0
B28,Bakırköy’den Taksim’e rota+alternatifleri çek. Seçim kuralı: puan = süre + 3*gecikme (en düşük puan seçilir). Her rota için puanı hesapla. SAFETY’den stres/acele ve yoğun trafikte dikkat bağlamı getirip seçimini gerekçelendir.,True,"route_eta_api, rag_search, math",,False,0.0,1.75,0.0
B29,"Taksim’den Kadıköy’e rota+ETA çek. Eğer API rota döndürmezse: (1) bunu açıkça belirt, (2) SAFETY’den şehir içi yoğun trafikte sürüş bağlamı getir, (3) 70 km/s takip mesafesini hesapla ve 'alternatif veri yokken güvenli varsayım' gerekçesi yaz.",True,"route_eta_api, rag_search, math",,False,85.0,0.98,0.0
B30,Esenyurt’ta anlık yoğunluğu çek. Eğer congestion_pct None/null gelirse bunu raporla. Sonra SAFETY’den 4 öneri getir ve 90 km/s takip mesafesini hesapla. 'Veri eksikken nasıl karar verdin?' sorusunu 2 cümleyle açıkla.,True,"live_traffic_api, rag_search, math",,False,40.0,1.16,0.0
B31,Beşiktaş’tan Üsküdar’a rota+ETA çek. Eğer route listesi boş gelirse bunu belirt. REGULATION’dan genel trafik kuralları bağlamı getir. 60 km/s takip mesafesini hesapla ve 'rota yoksa bile sürüş prensibi' diye kısa karar yaz.,True,"route_eta_api, rag_search, math",,False,40.0,0.97,0.0
B32,Kadıköy’de anlık yoğunluğu çek. Eğer status 'Akıcı' ama congestion_pct yüksek gibi tutarsız veri gelirse tutarsızlığı belirt. SAFETY’den 4 öneri getir ve 50 km/s takip mesafesini hesapla. 'Tutarsız veride güvenli tarafta kalma' prensibiyle karar yaz.,True,"live_traffic_api, rag_search, math",,False,60.0,1.83,0.0
B33,"İstanbul (Taksim) → Kocaeli (İzmit Merkez) rota ve alternatifleri çek. Alternatifler arasında gecikme farkı 15 dk üstüyse SAFETY’den uzun yolda dikkat/yorgunluk bağlamı getir. Gecikme farkını hesapla, en düşük gecikmeli rotayı seç ve gerekçelendir.",True,"route_eta_api, rag_search, math",,False,60.0,1.71,0.0
B34,Ankara (Kızılay) → Eskişehir (Merkez) rota+alternatifleri çek. Seçim kuralı: puan = süre + 2*gecikme. Her rota için puanı hesapla. SAFETY’den uzun yol sürüş önerileri getir ve seçimini kanıta dayalı gerekçelendir.,True,"route_eta_api, rag_search, math",,False,0.0,2.65,0.0
B35,Adana (Merkez) → Mersin (Merkez) rota+alternatif çek. En hızlı rota gecikmesi 10 dk üstüyse SAFETY’den 4 öneri getir. Gecikmenin toplam süreye oranını hesapla ve neden risk/stres arttığını kısa gerekçeyle açıkla.,True,"route_eta_api, rag_search, math",,False,85.0,2.01,0.0
B36,İzmir (Konak) → Manisa (Merkez) rota+alternatif çek. Alternatif rotalarda mesafe farkı varsa km farkını hesapla. SAFETY’den dikkat/öngörü bağlamı getir ve yakıt/yorulma açısından hangi rotayı seçtiğini gerekçelendir.,True,"route_eta_api, rag_search, math",,False,0.0,1.57,0.0
B37,Esenyurt’ta anlık yoğunluğu çek. SIGNS dokümanından uyarı/tehlike levhalarının amacıyla ilgili bağlam getir. 70 km/s takip mesafesini hesapla. Yoğunluk yüksekse uyarı levhası mantığı ile risk planını birleştirerek kısa açıklama yaz.,True,"live_traffic_api, rag_search, math",,False,0.0,1.19,0.0
B38,Şişli’de anlık yoğunluğu çek. REGULATION dokümanından şehir içi sürüş kuralları hakkında bağlam getir. 60 km/s takip mesafesini hesapla. Kural + anlık durum + hesap ile kısa ama gerekçeli sürüş kararı yaz.,True,"live_traffic_api, rag_search, math",,False,40.0,1.52,0.0
